Supertramp,Bloody Well Right,3wZ4cM9lpvw,2020-01-01
Supertramp,Breakfast in America,K3HTvyCpEd0,2020-01-01
Supertramp,Dreamer,fDrhPqQmtGY,2020-01-01
Supertramp,Give a Little Bit,BPZjSxFtLTU,2020-01-01
Supertramp,Just Another Nervous Wreck,ozxMh-qvyJM,2020-01-01
Supertramp,"Logical Song, The",pceoIMAtmsc,2020-01-01
Supertramp,School,EP_izEwAhqI,2020-01-01
Supertramp,Take the Long Way Home,JXcnyXN8DDo,2020-01-01
Suzanne Vega,Luka,h6GfWSJMsVw,2020-01-01
Suzanne Vega,Tom's Diner,MYWz3oMd4Lg,2020-01-01
System of a Down,Aerials,kfsWXM3Yit8,2020-01-01
System of a Down,Roulette,DnXvyRWQvNA,2020-01-01
System of a Down,Spiders,64lBQYxaREE,2020-01-01
t.A.T.u.,All the Things She Said,yQW-yNAZZAc,2020-01-01
Talking Heads,Burning Down the House,qnutIQTO6dI,2020-01-01
Talking Heads,Psycho Killer,jF2SQJ6bN9Y,2020-01-01
Taproot,Calling,a3A8IT01lKA,2020-01-01
Tarja,I Walk Alone,a6O07IZGgU4,2020-01-01
Taron Egerton,I'm Still Standing (from Sing),rHO9fMB_tAg,2020-01-01
Tears for Fears,Everybody Wants to Rule the World,8JCsU3rXPyE,2020-01-01
Tears For Fears,Mad World,p-WMvkT1QHE,2020-01-01
Tenacious D,Fuck Her Gently,QqMaucK9rFM,2020-01-01
Tenacious D,Kickapoo,H9L7WIjnie8,2020-01-01
Tenacious D,Tribute,GQ5-YiMOru4,2020-01-01
They Might Be Giants,She's an Angel,6gZNGgwMWYA,2020-01-01
Tina Turner,What's Love Got to Do with It,uwD223bQDHI,2020-01-01
Toadies,Possum Kingdom,cHs5gzAqzyg,2020-01-01
Toby Keith,How Do You Like Me Now,uDjmxD0YlTk,2020-01-01
Tom Waits,Way Down in the Hole,keo420kUADk,2020-01-01
Tommy Tutone,867-5309 Jenny,DUmvc83oP_c,2020-01-01
Tove Lo,Habits (Stay High),dkFprYzkj-c,2020-01-01
Van Halen,Runnin' with the Devil,9d73xIKnQW0,2020-01-01
Vance Joy,Riptide,0RZjBAwG9nQ,2020-01-01
Violent Femmes,Blister in the Sun,syKjfskVr1g,2020-01-01
Warren Zevon,Werewolves of London,nvN56FD6-vg,2020-01-01
Weezer,El Scorcho,_y4QmO4IH5I,2020-01-01
Weezer,"Greatest Man That Ever Lived, The",yIlDBHYAJcg,2020-01-01
Weezer,Perfect Situation,iOXdcsc3HsY,2020-01-01
Weezer,Say It Ain't So,WAC36_fIa-Q,2020-01-01
Weezer,Undone (The Sweater Song),xTfVBBHO57A,2020-01-01
Ylvis,What Does The Fox Say,JkKwx_PIw9o,2020-01-01
ZZ Top,Sharp Dressed Man,prRalwto9iY,2020-01-01
Alvvays,"Archie, Marry Me",ZgTv7XGEMig,<built-in method date of datetime.datetime object at 0x1063880f0>
Right Said Fred,I'm Too Sexy,qZxUDyMTrzY,<built-in method date of datetime.datetime object at 0x106388420>
A-Ha,Take On Me,GK0hisiU6-c,<built-in method date of datetime.datetime object at 0x106388450>
Aqua,Barbie Girl,W28FCLk0dJo,<built-in method date of datetime.datetime object at 0x106388600>
