"Big & Rich","Save a Horse (Ride a Cowboy)","uzJPCc13qCM","E:/Karaoke/Songs/Big & Rich - Save a Horse (Ride a Cowboy) - uzJPCc13qCM.mp4"
"Big Data","Dangerous ft. Joywave","Az5ClEj9eiY","E:/Karaoke/Songs/Big Data - Dangerous ft. Joywave - Az5ClEj9eiY.mkv"
"Bill Withers","Lean on Me (acoustic)","eHh2iNiqg7g","E:/Karaoke/Songs/Bill Withers - Lean on Me (acoustic) - eHh2iNiqg7g.mkv"
"Billie Eilish","Bad Guy","l1aVSxQIWAw","E:/Karaoke/Songs/Billie Eilish - Bad Guy - l1aVSxQIWAw.mp4"
"Billy Idol","Eyes Without a Face","rV6Q90nYVA4","E:/Karaoke/Songs/Billy Idol - Eyes Without a Face - rV6Q90nYVA4.mkv"
"Billy Idol","Rebel Yell","nN6jg0C 1B0","E:/Karaoke/Songs/Billy Idol - Rebel Yell - nN6jg0C_1B0.mkv"
"Billy Joel","Vienna","gb91uPVocEo","E:/Karaoke/Songs/Billy Joel - Vienna - gb91uPVocEo.mp4"
"Billy Joel","Why Should I Worry","D113KMWg-Eg","E:/Karaoke/Songs/Billy Joel - Why Should I Worry - D113KMWg-Eg.mp4"
"Billy Ray Cyrus","Achy Breaky Heart","QIRrJlwFMHg","E:/Karaoke/Songs/Billy Ray Cyrus - Achy Breaky Heart - QIRrJlwFMHg.mkv"
"Björk","Human Behaviour","RHI-nwjaJZk","E:/Karaoke/Songs/Björk - Human Behaviour - RHI-nwjaJZk.mkv"
"Black Angels, The","Manipulation","SyZGLZVCbHg","E:/Karaoke/Songs/Black Angels, The - Manipulation - SyZGLZVCbHg.mkv"
"Black Angels, The","The Sniper at the Gates of Heaven","-DBVmiL0CPw","E:/Karaoke/Songs/Black Angels, The - The Sniper at the Gates of Heaven - -DBVmiL0CPw.mkv"
"Black Angels, The","Young Men Dead","VM4vrB3zMrQ","E:/Karaoke/Songs/Black Angels, The - Young Men Dead - VM4vrB3zMrQ.mkv"
"Black Sabbath","Black Sabbath","QRfjZIqkvNk","E:/Karaoke/Songs/Black Sabbath - Black Sabbath - QRfjZIqkvNk.mp4"
"Black Sabbath","Children of the Grave","VuknzPJZxd0","E:/Karaoke/Songs/Black Sabbath - Children of the Grave - VuknzPJZxd0.mp4"
"Black Sabbath","Fairies Wear Boots","kAFWhZUjPeM","E:/Karaoke/Songs/Black Sabbath - Fairies Wear Boots - kAFWhZUjPeM.mp4"
"Black Sabbath","Heaven and Hell","8AJjXNYrFHA","E:/Karaoke/Songs/Black Sabbath - Heaven and Hell - 8AJjXNYrFHA.mkv"
"Black Sabbath","Neon Knights","WJUv6wqS7gs","E:/Karaoke/Songs/Black Sabbath - Neon Knights - WJUv6wqS7gs.mkv"
"Black Sabbath","NIB","ZTFzMHNfkbQ","E:/Karaoke/Songs/Black Sabbath - NIB - ZTFzMHNfkbQ.mp4"
"Black Sabbath","War Pigs","68GwgTJynuQ","E:/Karaoke/Songs/Black Sabbath - War Pigs - 68GwgTJynuQ.mp4"
"Blackbear","Hot Girl Bummer","NfGSgwfgUik","E:/Karaoke/Songs/Blackbear - Hot Girl Bummer - NfGSgwfgUik.mkv"
"Blind Melon","No Rain","Xz4DeNoPbLw","E:/Karaoke/Songs/Blind Melon - No Rain - Xz4DeNoPbLw.mkv"
"Blink-182","All the Small Things","WCWHVRaBtLg","E:/Karaoke/Songs/Blink-182 - All the Small Things - WCWHVRaBtLg.mp4"
"Blink-182","Dammit","EySDrEFb5Kg","E:/Karaoke/Songs/Blink-182 - Dammit - EySDrEFb5Kg.mp4"
"Blue Kid","Dismemberment Song, The","7NClxY5jNs0","E:/Karaoke/Songs/Blue Kid - Dismemberment Song, The - 7NClxY5jNs0.mp4"
"Blue Oyster Cult","(Don't Fear) The Reaper","vLwboi5VkMU","E:/Karaoke/Songs/Blue Oyster Cult - (Don't Fear) The Reaper - vLwboi5VkMU.mp4"
"Blue Oyster Cult","Godzilla","kDO648hBwZE","E:/Karaoke/Songs/Blue Oyster Cult - Godzilla - kDO648hBwZE.mp4"
"Bo Burnham","Welcome to the Internet","FK0vZWztu80","E:/Karaoke/Songs/Bo Burnham - Welcome to the Internet - FK0vZWztu80.mp4"
"Bo Burnham","White Woman's Instagram","9vhlO2DHRCs","E:/Karaoke/Songs/Bo Burnham - White Woman's Instagram - 9vhlO2DHRCs.mp4"
"Bob Dylan","Knockin' on Heaven's Door (acoustic)","yzNYpq4Ygcg","E:/Karaoke/Songs/Bob Dylan - Knockin' on Heaven's Door (acoustic) - yzNYpq4Ygcg.mkv"
"Bob Seger","Night Moves","9LZTxUgU1WU","E:/Karaoke/Songs/Bob Seger - Night Moves - 9LZTxUgU1WU.mp4"
"Bobby 'Boris' Pickett","Monster Mash","-fVgl9-Zx3k","E:/Karaoke/Songs/Bobby 'Boris' Pickett - Monster Mash - -fVgl9-Zx3k.mp4"
"Bobby McFerrin","Don't Worry Be Happy","7-tt3aXIufs","E:/Karaoke/Songs/Bobby McFerrin - Don't Worry Be Happy - 7-tt3aXIufs.mp4"
"Bombpops, The","CA in July","U67y6NRA1u8","E:/Karaoke/Songs/Bombpops, The - CA in July - U67y6NRA1u8.mp4"
"Bon Jovi","I'll Be There for You","3jlz2bRn9 0","E:/Karaoke/Songs/Bon Jovi - I'll Be There for You - 3jlz2bRn9_0.mp4"
"Bon Jovi","Wanted Dead Or Alive","Zwy2shCdQPQ","E:/Karaoke/Songs/Bon Jovi - Wanted Dead Or Alive - Zwy2shCdQPQ.mp4"
"Bonnie Raitt","Something To Talk About","ukQNTkTxqFU","E:/Karaoke/Songs/Bonnie Raitt - Something To Talk About - ukQNTkTxqFU.mp4"
"Bonnie Tyler","Total Eclipse of the Heart (acoustic)","TA6RLRbqx7k","E:/Karaoke/Songs/Bonnie Tyler - Total Eclipse of the Heart (acoustic) - TA6RLRbqx7k.mkv"
"Brandi Carlile","Story, The","5Ysa5iyrpZI","E:/Karaoke/Songs/Brandi Carlile - Story, The - 5Ysa5iyrpZI.mp4"
"Bread","Everything I Own","aaJwugoNayU","E:/Karaoke/Songs/Bread - Everything I Own - aaJwugoNayU.mkv"
"Bread","Everything I Own (acoustic)","w0 fTz4S6ho","E:/Karaoke/Songs/Bread - Everything I Own (acoustic) - w0_fTz4S6ho.mkv"
"Bread","The Guitar Man (acoustic)","9kcdbUpFAUQ","E:/Karaoke/Songs/Bread - The Guitar Man (acoustic) - 9kcdbUpFAUQ.mkv"
"Breaking Benjamin","Diary of Jane","S19uam2 48g","E:/Karaoke/Songs/Breaking Benjamin - Diary of Jane - S19uam2_48g.mp4"
"British Sea Power","The Smallest Church in Saint-Saëns","E3UUFd gTv0","E:/Karaoke/Songs/British Sea Power - The Smallest Church in Saint-Saëns - E3UUFd_gTv0.mkv"
"Britney Spears","Toxic","prgoLEZTit0","E:/Karaoke/Songs/Britney Spears - Toxic - prgoLEZTit0.mp4"
"Bruce Springsteen","The Ghost of Tom Joad","yx9AtcQWXVg","E:/Karaoke/Songs/Bruce Springsteen - The Ghost of Tom Joad - yx9AtcQWXVg.mp4"
"Bruce Springsteen","The Ghost of Tom Joad ft. Tom Morello","mggY2gl6yEc","E:/Karaoke/Songs/Bruce Springsteen - The Ghost of Tom Joad ft. Tom Morello - mggY2gl6yEc.mkv"
"Built to Spill","Carry the Zero","Wlhq70LpSB4","E:/Karaoke/Songs/Built to Spill - Carry the Zero - Wlhq70LpSB4.mkv"
"Buoys, The","Timothy","8KsDlwx5II8","E:/Karaoke/Songs/Buoys, The - Timothy - 8KsDlwx5II8.mp4"
"Bush","Glycerine","Wz7o1iTV3Gk","E:/Karaoke/Songs/Bush - Glycerine - Wz7o1iTV3Gk.mp4"
"Bush","Machinehead","S MDcEqYSTw","E:/Karaoke/Songs/Bush - Machinehead - S_MDcEqYSTw.mp4"
"Bush","Testosterone","wDYOMLNgTGw","E:/Karaoke/Songs/Bush - Testosterone - wDYOMLNgTGw.mp4"
"Butthole Surfers","Pepper","0vtXdXRtxAM","E:/Karaoke/Songs/Butthole Surfers - Pepper - 0vtXdXRtxAM.mkv"
